DayOfWeek,Origin_Airport,Scheduled_Departure,Departure_Time,Dep_Delay,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Del_morethan15,Cancelled,Diverted,Distance,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers
6,DFW,905,859,10.0,1213,1215,2.0,0,0,0,3711.0,1.0,20.0,0.0,0,0,1
7,DFW,905,859,-6.0,1213,1215,2.0,0,0,0,3711.0,0.0,9.0,,0,0,1
1,DFW,905,921,16.0,1213,1231,18.0,1,0,0,3711.0,0.0,23.0,2.0,0,0,1
2,DFW,905,906,1.0,1213,1235,22.0,1,0,0,3711.0,4.0,32.0,21.0,0,0,1
3,DFW,905,857,-8.0,1213,1224,11.0,0,0,0,3711.0,0.0,21.0,,0,0,1
4,DFW,905,902,-3.0,1213,1227,14.0,0,0,0,3711.0,8.0,26.0,,0,0,1
5,DFW,905,1043,110.0,1213,1425,132.0,1,0,0,3711.0,37.0,137.0,34.0,0,0,1
6,DFW,905,858,19.0,1213,1210,-3.0,0,0,0,3711.0,13.0,19.0,0.0,0,0,1
7,DFW,905,912,7.0,1213,1204,-9.0,0,0,0,3711.0,0.0,23.0,0.0,0,0,1
1,DFW,905,937,32.0,1213,1239,26.0,1,1,0,3711.0,15.0,30.0,0.0,0,0,1
2,DFW,905,1033,88.0,1213,1332,,1,0,0,3711.0,36.0,39.0,0.0,0,0,1
3,DFW,905,858,-7.0,1213,1156,-17.0,0,0,0,3711.0,4.0,27.0,0.0,0,0,1
4,DFW,905,909,4.0,1213,1219,6.0,0,0,0,,0.0,0.0,,0,0,1
5,DFW,905,901,12.0,1213,1220,7.0,0,0,0,3711.0,1.0,14.0,,0,0,1
6,DFW,905,858,12.0,1213,1229,16.0,1,0,0,3711.0,7.0,26.0,,0,0,1
7,DFW,905,1022,77.0,1213,1304,51.0,1,0,0,3711.0,28.0,15.0,0.0,0,35,1
1,DFW,905,957,52.0,1213,1235,22.0,1,0,0,3711.0,20.0,30.0,0.0,0,20,1
2,DFW,905,954,49.0,1213,1227,14.0,0,0,0,3711.0,15.0,5.0,0.0,0,0,1
3,DFW,905,911,6.0,1213,1221,8.0,0,0,0,3711.0,10.0,25.0,0.0,0,0,1
4,DFW,905,858,-7.0,1213,1143,-30.0,0,0,0,3711.0,11.0,12.0,0.0,0,0,1
5,DFW,905,905,28.0,1213,1155,-18.0,0,0,0,3711.0,10.0,24.0,0.0,0,0,1
6,DFW,905,905,18.0,1213,1239,26.0,1,0,0,3711.0,9.0,21.0,26.0,0,0,1
7,DFW,905,1037,92.0,1213,1327,74.0,1,0,0,3711.0,32.0,19.0,0.0,0,57,1
5,JFK,700,658,25.0,1017,1010,-7.0,0,0,0,2586.0,15.0,25.0,0.0,0,0,1
6,JFK,700,818,102.0,1017,1127,70.0,1,0,0,,40.0,0.0,0.0,0,0,1
1,JFK,700,655,-5.0,1017,1001,-16.0,0,0,0,2586.0,0.0,5.0,0.0,0,0,1
2,JFK,700,654,-6.0,1017,1002,,0,0,0,2586.0,0.0,7.0,0.0,0,0,1
3,JFK,700,654,-6.0,1017,1028,11.0,0,0,0,2586.0,0.0,35.0,0.0,0,0,1
4,JFK,700,653,-7.0,1017,1022,5.0,0,0,0,2586.0,11.0,35.0,0.0,0,0,1
5,JFK,700,701,27.0,1017,1016,-1.0,0,0,0,2586.0,13.0,25.0,0.0,0,0,1
6,JFK,700,700,26.0,1017,1039,22.0,1,0,0,2586.0,6.0,27.0,22.0,0,0,1
7,JFK,700,659,-1.0,1017,1057,40.0,1,0,0,2586.0,0.0,21.0,40.0,0,0,1
1,JFK,700,655,-5.0,1017,1033,16.0,1,0,0,,2.0,0.0,16.0,0,0,1
2,JFK,700,657,-3.0,1017,1047,30.0,1,0,0,2586.0,3.0,26.0,30.0,0,0,1
3,JFK,700,657,-3.0,1017,1022,5.0,0,0,0,2586.0,3.0,26.0,0.0,0,0,1
4,JFK,700,659,-1.0,1017,1023,6.0,0,0,0,2586.0,0.0,12.0,0.0,0,0,1
5,JFK,700,704,32.0,1017,1023,6.0,0,0,0,,13.0,0.0,0.0,0,0,1
6,JFK,700,656,14.0,1017,1016,-1.0,0,0,0,2586.0,5.0,12.0,,0,0,1
7,JFK,700,655,-5.0,1017,1001,-16.0,0,0,0,2586.0,0.0,18.0,,0,0,1
1,JFK,700,655,-5.0,1017,1032,15.0,1,0,0,2586.0,0.0,28.0,15.0,0,0,1
2,JFK,700,656,-4.0,1017,1009,-8.0,0,0,0,2586.0,1.0,26.0,0.0,0,0,1
3,JFK,700,656,-4.0,1017,1000,-17.0,0,0,0,2586.0,0.0,19.0,0.0,0,0,1
4,,700,649,-11.0,1017,935,-42.0,0,0,0,2586.0,0.0,24.0,0.0,0,0,1
5,JFK,700,655,10.0,1017,1026,9.0,0,0,0,,7.0,0.0,0.0,0,0,1
6,JFK,700,707,35.0,1017,1001,-16.0,0,0,0,2586.0,20.0,31.0,0.0,0,0,1
7,JFK,700,655,-5.0,1017,955,-22.0,0,0,0,2586.0,0.0,32.0,0.0,0,0,1
1,JFK,700,654,-6.0,1017,1012,-5.0,0,1,0,,1.0,0.0,,0,0,1
2,JFK,700,655,-5.0,1017,1007,-10.0,0,0,0,2586.0,2.0,26.0,0.0,0,0,1
3,JFK,700,659,,1017,1003,-14.0,0,0,0,2586.0,0.0,35.0,0.0,0,0,1
4,JFK,700,652,1243.0,1017,957,-20.0,0,0,0,2586.0,433.0,13.0,0.0,0,0,1
5,JFK,700,652,9.0,1017,1004,-13.0,0,0,0,2586.0,4.0,27.0,0.0,0,0,1
6,JFK,700,653,15.0,1017,1017,0.0,0,0,0,2586.0,4.0,9.0,0.0,0,0,1
7,JFK,700,716,16.0,1017,1032,15.0,1,0,0,2586.0,16.0,21.0,0.0,0,0,1
6,LAX,2115,2111,22.0,553,533,-20.0,0,0,0,2475.0,8.0,9.0,9.0,0,0,1
7,LAX,2115,2118,3.0,553,534,-19.0,0,0,0,2475.0,3.0,11.0,36.0,0,0,1
1,LAX,2115,2112,-3.0,553,545,-8.0,0,1,0,2475.0,0.0,12.0,13.0,0,0,1
2,LAX,2115,2111,-4.0,553,517,-36.0,0,0,0,2475.0,0.0,11.0,8.0,0,0,1
3,LAX,2115,2118,3.0,553,551,-2.0,0,0,0,-127.0,0.0,0.0,47.0,0,0,1
4,LAX,2115,2119,4.0,553,534,-19.0,0,0,0,2475.0,7.0,26.0,18.0,0,0,1
5,LAX,2115,2114,14.0,553,529,-24.0,0,0,0,2475.0,9.0,25.0,30.0,0,0,1
6,LAX,2115,2115,22.0,553,541,-12.0,0,0,0,2475.0,6.0,8.0,33.0,0,0,1
7,LAX,2115,2115,0.0,553,527,-26.0,0,0,0,2475.0,0.0,36.0,38.0,0,0,1
1,LAX,2115,2136,21.0,553,602,9.0,0,1,0,2475.0,8.0,33.0,22.0,0,0,1
